nom,auteur,editeur,nb_joueurs,age_min,duree,type_jeu,notice,themes,description,image,logo
Paper Tales,Masato Uesugi,Catch Up Games,2 à 5 joueurs,12 ans,45 mn,Tout public,https://catchupgames.com/media/papertales/papertales_regles.pdf,"Fantastique, Médiéval","Ouvrez le livre des siècles oubliés pour revivre des temps héroïques, peuplés de créatures fantastiques. Développez votre Royaume à travers les Âges et mesurez-vous à vos adversaires pour écrire votre légende !",https://cdn3.philibertnet.com/552750-large_default/paper-tales-edition-integrale.jpg,https://catchupgames.com/wp-content/uploads/2022/10/logo_fond_blanc.png
Forteresse,Raf Peeters,Smart Games,1 joueur,8 ans,60 mn,Enfants,https://www.smartgames.eu/fr/jeux-pour-1-joueur/forteresse,Moyen Age,Forteresse est un jeu de logique dans lequel le joueur doit défense son donjon en repoussant les envahisseurs. La boîte comprend 80 défis de difficulté croissante.,https://cdn1.philibertnet.com/501391-large_default/forteresse.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
L'Aventurier,,Smart Games,1 joueur,7 ans,45 mn,Enfants,https://www.smartgames.eu/fr/jeux-pour-1-joueur/laventurier,"Labyrinthe, Temple",L'Aventurier est un casse-tête comprenant 60 défis répartis en 4 niveaux pour tous âges qui vous fera vivre de riches moments de remue-méninges.,https://cdn2.philibertnet.com/317962-large_default/l-aventurier.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
Lièvres et renards,,Smart Games,1 joueur,7 ans,,Enfants,"https://www.smartgames.eu/fr/jeux-pour-1-joueur/li%C3%A8vres-renards#:~:text=Le%20but%20du%20jeu%20consiste,Les%20Champignons%20ne%20bougent%20pas%20!","Nature, Animaux",Lièvres & Renards est un jeu de logique et de réflexion pour un joueur dans lequel il faut aider les lièvres à rejoindre leur gîte. Le coffret propose 60 défis de niveau de difficulté croissant.,https://cdn3.philibertnet.com/501630-large_default/lievres-renards.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
La Nuit des Fantômes,Raf Peeters,Smart Games,1 joueur,6 ans,60 mn,Enfants,https://www.smartgames.eu/fr/jeux-pour-1-joueur/la-nuit-des-fant%C3%B4mes,"Fantastique, Chemin",La Nuit des Fantômes est un jeu de casse-tête dans lequel les joueurs ont pour objectif d'éclairer tous les fantômes se trouvant dans la maison. Le jeu propose 60 défis évolutifs proposés.,https://cdn1.philibertnet.com/501407-large_default/la-nuit-des-fantomes.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
Les 3 petits cochons,,Smart Games,1 joueur,3 ans,30 mn,Enfants,https://www.smartgames.eu/fr/jeux-pour-1-joueur/les-trois-petits-cochons,Animaux,Les Trois Petits Cochons est un jeu de réflexion pour enfants dans lequel les joueurs doivent placer les maisons pour que les cochons jouent à l'extérieur ou se protègent du loup selon la situation.,https://cdn3.philibertnet.com/501403-large_default/trois-petits-cochons-deluxe.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
Bahuts malins,Raf Peeters,Smart Games,1 joueur,3 ans,,Enfants,https://ludotheque.ath.be/les-regles-de-nos-jeux/2992-bahuts-malins.pdf,Camions,"Les trois camions Groseille, Citron et Pruneau sont en route vers leur prochaine destination. Pouvez-vous les aider à tout emporter ?",https://cdn2.philibertnet.com/315132-large_default/trucky-3-bahuts-malins.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
Camelot Jr,Raf Peeters,Smart Games,1 joueur,4 ans,,Enfants,https://www.smartgames.eu/fr/jeux-pour-1-joueur/camelot-jr,Médiéval,"Construisez avec les tours et les escaliers, comme indiqué dans le défi, un chemin qui mènera le chevalier auprès de sa princesse.",https://cdn1.philibertnet.com/311037-large_default/camelot-junior.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
Le Petit Chaperon Rouge,Raf Peeters,Smart Games,1 joueur,4 ans,60 mn,Enfants,https://www.smartgames.eu/fr/jeux-pour-1-joueur/le-petit-chaperon-rouge,"Contes, Chemin",Petit Chaperon Rouge Deluxe est un jeu de réflexion idéal pour les jeunes enfants qui devront se creuser les méninges pour résoudre un à un les 24 défis de difficulté croissante.,https://cdn3.philibertnet.com/501399-large_default/petit-chaperon-rouge-deluxe.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
IQ-Fit,Raf Peeters,Smart Games,1 joueur,6 ans,,Enfants,https://www.smartgames.eu/fr/jeux-pour-1-joueur/iq-fit,Abstrait,"Affutez vos neurones, avec IQ Fit de Smart Gmes, pour résoudre les défis de ce jeu de réflexion déconcertant qui comprend 120 défis et 5 niveaux de difficulté.",https://cdn3.philibertnet.com/401746-large_default/iq-fit.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
IQ-Link,Raf Peeters,Smart Games,1 joueur,8 ans,,Enfants,https://www.smartgames.eu/fr/jeux-pour-1-joueur/iq-link,Abstrait,"IQ-Link est un jeu de voyage compact et le jeu de réflexion le plus complexe dans la série IQ de SmartGames. Placez toutes les pièces du puzzle sur le plateau de jeu... Enfin, si vous y arrivez !",https://cdn2.philibertnet.com/401707-large_default/iq-link.jpg,https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg
